Time_s,PLX,PLY,PLZ,EstFreq_Hz,EstFreq_X_Hz,EstFreq_Y_Hz,SW,RealSW,DX,DY,VX,VY,CX,CY,PRX,PRY,RealFreq_Hz,RealPhase
0.0000,0.2929,0.0656,-23.5650,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0265
0.0107,0.2847,0.0699,-23.5515,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0245
0.0204,0.2794,0.0380,-23.5469,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0228
0.0304,0.2832,0.0580,-23.5457,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0209
0.0407,0.2914,0.0760,-23.5554,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0188
0.0504,0.2977,0.0661,-23.5701,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0170
0.0606,0.2998,0.0674,-23.5602,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0148
0.0704,0.2976,0.0550,-23.5490,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0130
0.0805,0.2885,0.0486,-23.5505,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110
0.0907,0.2890,0.0622,-23.5504,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088
0.1005,0.2867,0.0706,-23.5590,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069
0.1107,0.2820,0.0622,-23.5711,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047
0.1204,0.2859,0.0642,-23.5682,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0028
0.1305,0.2879,0.0561,-23.5498,0.5794,0.5794,0.5794,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007
